SYMBOL,NAME,CLOSE,VOLUME,UPDATE_DATE,UPDATE_TIME
KIRLOSENG,KIRLOSENG,1094.2,108071,2026-01-25,10:17:31
CHOICEIN,CHOICEIN,760.05,348010,2026-01-25,10:17:31
JSWCEMENT,JSWCEMENT,116.5,1662237,2026-01-25,10:17:31
GESHIP,GESHIP,1108.8,173473,2026-01-25,10:17:31
VINATIORGA,VINATIORGA,1520.4,9978,2026-01-25,10:17:31
BASF,BASF,3637.4,8810,2026-01-25,10:17:31
TBOTEK,TBOTEK,1443.0,114338,2026-01-25,10:17:31
EIDPARRY,EIDPARRY,879.6,237088,2026-01-25,10:17:31
CIEINDIA,CIEINDIA,410.75,319651,2026-01-25,10:17:31
CARBORUNIV,CARBORUNIV,818.2,138631,2026-01-25,10:17:31
RRKABEL,RRKABEL,1351.6,114569,2026-01-25,10:17:31
ARE&M,ARE&M,831.2,263226,2026-01-25,10:17:31
JUBLPHARMA,JUBLPHARMA,956.1,139598,2026-01-25,10:17:31
IFCI,IFCI,56.35,13721630,2026-01-25,10:17:31
