SYMBOL,NAME,CLOSE,CHANGE%,VOLUME,FETCH_DATE
PGEL,PGEL,510.35,-3.780165912518845,1960594,2026-01-25 09:59
JWL,JWL,303.75,-3.739502456029159,1927811,2026-01-25 09:59
M&M,M&M,3543.4,-0.8478607605562787,1922549,2026-01-25 09:59
LLOYDPP.E1,LLOYDPP.E1,37.01,-2.3740437879187515,1911103,2026-01-25 09:59
ITCHOTELS,ITCHOTELS,182.21,-1.4015151515151532,1910693,2026-01-25 09:59
LT,LT,3743.8,-1.3179397965100952,1898703,2026-01-25 09:59
BIOCON,BIOCON,366.2,-1.8230563002680995,1896911,2026-01-25 09:59
MCLOUD,MCLOUD,22.61,1.3446884805020203,1890787,2026-01-25 09:59
OIL,OIL,435.7,-0.17184098980410129,1888918,2026-01-25 09:59
HCLTECH,HCLTECH,1707.0,0.22899418707064126,1874357,2026-01-25 09:59
SGMART,SGMART,349.3,6.154079927062757,1868679,2026-01-25 09:59
DCBBANK,DCBBANK,182.9,-3.1198686371100095,1862542,2026-01-25 09:59
RAIN,RAIN,134.58,-3.561447509853098,1845780,2026-01-25 09:59
MOREPENLAB,MOREPENLAB,34.17,-3.7193575655114124,1835014,2026-01-25 09:59
JUBLFOOD,JUBLFOOD,492.6,-1.6766467065868218,1831633,2026-01-25 09:59
TECHM,TECHM,1701.1,0.8118999644423265,1831521,2026-01-25 09:59
TEJASNET,TEJASNET,304.05,-5.896007428040857,1823137,2026-01-25 09:59
MOTISONS,MOTISONS,11.06,-2.8119507908611623,1820916,2026-01-25 09:59
GMDCLTD,GMDCLTD,518.8,-3.7923041261010746,1815399,2026-01-25 09:59
SANDUMA,SANDUMA,205.33,-4.568693065625574,1794723,2026-01-25 09:59
INNOVACAP,INNOVACAP,678.05,3.645674105778035,1794064,2026-01-25 09:59
NDL,NDL,2.82,-1.3986013986014,1789173,2026-01-25 09:59
ASIANPAINT,ASIANPAINT,2703.7,-0.0036984984096591384,1786635,2026-01-25 09:59
STLTECH,STLTECH,88.39,-5.272746758118103,1784575,2026-01-25 09:59
